AAV;AAV2020;nom_aire_urbaine;categorie_taille;detail_taille;nombre_communes;categorie_desc;conso_enaf_total;conso_infra_total;conso_totale;evol_pop;pop14;pop20;surfcom2023;conso_act;conso_hab;conso_mix;conso_rou;conso_fer;conso_inc;densite_pop;taux_evol_pop;conso_enaf_par_hab;conso_par_nouvel_hab;coef_artif;part_act;part_hab;part_mix;part_rou;part_fer;part_inc;typologie
047;047;Bayonne (partie française);3;31;56;Grande;1141227;36223;1177450;21836;258393;280229;1157782476;376039;707132;19718;36205;18;38338;242.03942088340952;8.45069332373555;4.0724800074225005;52.26355559626305;0.0010169872358648483;31.93672767421122;60.056223194190835;1.674635865641853;3.0748651747420275;0.001528727334494034;3.2560193638795707;Dense, Faible conso, Croissance modérée
048;048;Dunkerque;3;31;66;Grande;722693;71079;793772;-6969;265839;258870;887539910;457500;264397;796;71079;0;0;291.67139086736955;-2.62151151636893;2.7917217136014214;-103.701104893098;0.0008943507678432173;57.636197799872;33.30893505943772;0.10028068513376637;8.954586455556507;0.0;0.0;Dense, Faible conso, Croissance modérée
049;049;Valence;3;31;71;Grande;933054;32893;965947;9253;246497;255750;1234243605;313193;583136;32457;32893;0;4268;207.21193041952202;3.7537982206679996;3.6483049853372433;100.8379984869772;0.0007826226492783813;32.423414535166;60.3693577390892;3.3601222427317436;3.40525929476462;0.0;0.44184618824842353;Dense, Faible conso, Croissance modérée
050;050;Chambéry;3;31;115;Grande;513415;29463;542878;11778;247017;258795;1170602348;49653;449328;13251;29463;0;1183;221.0784904388386;4.768092884295413;1.9838675399447439;43.5910171506198;0.0004637595345059055;9.14625385445717;82.76776734367574;2.4408799030353046;5.427186218634758;0.0;0.21791268019702403;Dense, Faible conso, Croissance modérée
051;051;La Rochelle;3;31;72;Grande;626091;27065;653156;13085;230395;243480;1198393130;63520;553502;7269;27065;0;1800;203.17205923902452;5.6793767225851255;2.5714268112370626;47.84799388612915;0.0005450264889285539;9.725088646510176;84.74269546632046;1.1129041147903411;4.143726766652989;0.0;0.275585005726044;Dense, Faible conso, Croissance modérée
052;052;Quimper;3;31;58;Grande;1198253;106550;1304803;4644;233745;238389;1470185565;298555;891856;7739;106550;0;103;162.1489189359576;1.9867804658923187;5.026460952476834;258.02174849267874;0.0008875090540016287;22.881231879448467;68.35177417587175;0.5931163554958104;8.165983677229436;0.0;0.007893911954524937;Dense, Faible conso, Croissance modérée
053;053;Lorient;3;31;31;Grande;509303;30718;540021;5881;222142;228023;851479665;57784;450033;1412;30718;0;74;267.7961780801894;2.64740571346256;2.233559772479092;86.60142832851555;0.0006342147936087235;10.700324617005636;83.33620359208253;0.26147131315263666;5.688297306956581;0.0;0.013703170802616935;Dense, Faible conso, Croissance modérée
054;054;Troyes;3;31;209;Grande;428791;8542;437333;5564;215745;221309;2809935098;95752;324216;728;8542;0;8095;78.75947033706186;2.5789705439291755;1.9375217456135991;77.06524083393242;0.00015563811431490933;21.894528883025064;74.13481260275351;0.16646354151184567;1.9532027082337717;0.0;1.8509922644758112;Dense, Faible conso, Croissance modérée
055;055;Saint-Nazaire;3;31;24;Grande;573134;19970;593104;10815;207129;217944;781823099;186786;377111;1873;19970;0;7364;278.7638281329419;5.221383775328419;2.6297305729912273;52.99435968562182;0.0007586166240913278;31.49295907631714;63.58260945803771;0.3157962178639834;3.3670317515983705;0.0;1.2416034961827944;Dense, Faible conso, Croissance modérée
056;056;Saint-Brieuc;3;31;51;Grande;1159242;46668;1205910;2610;199419;202029;1071049071;157852;996890;4157;46668;0;343;188.62721183388246;1.3088020700133889;5.737998010186656;444.15402298850574;0.001125914799472339;13.089865744541468;82.66703153635014;0.34471892595633175;3.869940542826579;0.0;0.028443250325480344;Dense, Faible conso, Croissance modérée
057;057;Vannes;2;25;47;Moyenne;747085;81236;828321;10454;195041;205495;1196569351;97710;615134;32966;81236;0;1275;171.73680725506063;5.359898687968171;3.635538577580963;71.46403290606466;0.0006922465457666566;11.796151491994046;74.26275562251833;3.9798580502003453;9.80730900218635;0.0;0.1539258331009355;Dense, Faible conso, Croissance modérée
058;058;Colmar;2;25;95;Moyenne;220367;18410;238777;2259;197355;199614;1106452652;67958;137684;11653;18339;71;3072;180.40898509229658;1.1446378353728055;1.1039656537116636;97.55068614431164;0.0002158040830471976;28.460865158704568;57.662170142015356;4.88028578966986;7.680387977066467;0.02973485720986527;1.286556075333889;Dense, Faible conso, Croissance modérée
059;059;Douai;2;25;61;Moyenne;331130;33281;364411;-1064;199184;198120;381006930;141821;178717;1543;33281;0;9049;519.9905419043165;-0.5341794521648324;1.6713607914395316;-311.2124060150376;0.0009564419208857959;38.91787020699156;49.042701784523516;0.42342300314754494;9.132819810598471;0.0;2.4831851947389074;Dense, Faible conso, Croissance modérée
060;060;Béziers;2;25;53;Moyenne;784077;45450;829527;9711;188543;198254;933965816;94675;579436;84847;45450;0;25119;212.27115233091143;5.150549211585686;3.954911376315232;80.74111831943158;0.0008881770465140878;11.413130615398897;69.85137313191736;10.228359052809614;5.479025999153735;0.0;3.0281112007204105;Dense, Faible conso, Croissance modérée
061;061;Montbéliard;2;25;137;Moyenne;322855;41510;364365;-1340;180895;179555;919887216;69526;235198;4660;41510;0;13471;195.19240715266122;-0.7407612150695154;1.7980841524880955;-240.9365671641791;0.0003960974711491153;19.081415613464518;64.55010772165274;1.2789373293263624;11.392422433548777;0.0;3.6971169020076022;Dense, Faible conso, Croissance modérée
062;062;Angoulême;2;25;94;Moyenne;819497;34329;853826;906;179394;180300;1514822411;276151;533190;4676;34329;0;5480;119.02385302114466;0.5050336131643198;4.545185801442041;904.5220750551877;0.0005636475891826504;32.34277241498854;62.44714965344227;0.547652566213725;4.020608414360771;0.0;0.6418169509946992;Dense, Faible conso, Croissance modérée
063;063;Niort;2;25;91;Moyenne;749529;44922;794451;2706;175523;178229;1756465814;233256;496362;1267;44922;0;18644;101.47023561712201;1.5416782985705577;4.205426726290335;276.9878048780488;0.00045230086100611123;29.36065282817946;62.478617309311716;0.15948120148379194;5.6544708232477525;0.0;2.3467778377772825;Dense, Faible conso, Croissance modérée
064;064;Bourges;2;25;111;Moyenne;695409;23702;719111;-2590;176750;174160;2674719149;59672;627795;0;23702;0;7942;65.11337837660952;-1.4653465346534653;3.992931786862655;-268.4976833976834;0.00026885476939470627;8.298023531833056;87.30154315536822;0.0;3.296014106306259;0.0;1.104419206492461;Dense, Faible conso, Croissance modérée
065;065;Chartres;2;25;117;Moyenne;760289;9118;769407;1042;169920;170962;1938594232;202224;512074;1196;9118;0;44795;88.18864576091445;0.6132297551789078;4.447122752424516;729.6439539347409;0.0003968891412651227;26.283098542124;66.5543723932847;0.15544438769078003;1.1850685008064652;0.0;5.822016176094056;Dense, Faible conso, Croissance modérée
066;066;La Roche-sur-Yon;2;25;45;Moyenne;740092;66615;806707;8709;163496;172205;1384420152;144366;577520;1605;65692;923;16601;124.38781662577244;5.326735822283114;4.297738160912865;84.98013549201976;0.0005827038842468395;17.895716784408712;71.5898089393051;0.19895699429904537;8.143229202176256;0.11441576681496504;2.0578723129959204;Dense, Faible conso, Croissance modérée
067;067;Cholet;2;25;26;Moyenne;399771;34487;434258;3500;160312;163812;1141834996;120006;264996;14209;34487;0;560;143.46381094804;2.1832426767802784;2.4404256098454327;114.22028571428571;0.00038031589636091344;27.634724058048445;61.02271000188828;3.272018016939239;7.941592325299707;0.0;0.12895559782433486;Dense, Faible conso, Croissance modérée
068;068;Boulogne-sur-Mer;2;25;80;Moyenne;246967;4193;251160;-3357;162962;159605;674299507;13008;220167;5643;4193;0;8149;236.6974887911345;-2.059989445392177;1.547363804392093;-73.56776884122729;0.0003724754317520211;5.179168657429527;87.66005733397037;2.2467749641662684;1.669453734671126;0.0;3.244545309762701;Dense, Faible conso, Croissance modérée
069;069;Arras;2;25;163;Moyenne;307102;3726;310828;2287;157145;159432;1018038840;83126;176413;105;3726;0;47458;156.60699153678655;1.4553437907664895;1.926225600883135;134.28159160472234;0.0003053203746136051;26.743407929787534;56.755826373428384;0.033780740473831186;1.1987337048142381;0.0;15.268251251496004;Dense, Faible conso, Croissance modérée
070;070;Chalon-sur-Saône;2;25;109;Moyenne;443488;19567;463055;695;154101;154796;1319063449;64085;370951;8447;19567;0;5;117.35295987266797;0.4510029136734999;2.864983591307269;638.1122302158274;0.0003510483141285192;13.839608685793264;80.1094902333416;1.82418935115699;4.22563194436946;0.0;0.0010797853386746714;Dense, Faible conso, Croissance modérée
071;071;Cherbourg-en-Cotentin;2;25;77;Moyenne;376048;20006;396054;-2904;154260;151356;1022529445;69391;300329;5238;20006;0;1090;148.02116529759198;-1.882535978218592;2.4845265466846373;-129.4931129476584;0.0003873277214036609;17.520590626530723;75.83031606801093;1.322546925419261;5.051331384104188;0.0;0.27521499593489773;Dense, Faible conso, Croissance modérée
072;072;Narbonne;2;25;71;Moyenne;500773;39249;540022;5525;149398;154923;1371021656;24508;449267;5264;39249;0;21734;112.998215106239;3.6981753437127676;3.2323993209529895;90.63764705882353;0.00039388291033675695;4.538333623444971;83.19420319912892;0.9747751017551136;7.268037228112929;0.0;4.024650847558062;Dense, Faible conso, Croissance modérée
073;073;Calais;2;25;45;Moyenne;347254;2169;349423;-7634;152259;144625;507593922;77594;265496;4162;2169;0;2;284.9226394007137;-5.01382512692189;2.4010648228176317;-45.48781765784648;0.0006883908275008856;22.20632299533803;75.98126053522522;1.1911064812562424;0.6207376160126837;0.0;0.000572372167830967;Dense, Faible conso, Croissance modérée
074;074;Blois;2;24;78;Moyenne;871522;276770;1148292;98;144921;145019;1539577629;369157;483816;6327;276770;0;12222;94.1940161173906;0.06762304979954596;6.009709072604279;;0.0007458487174471668;32.14835599307494;42.133533979162095;0.5509922563250462;24.102754351680584;0.0;1.064363419757344;Dense, Faible conso, Croissance modérée
075;075;Laval;2;24;66;Moyenne;678818;77775;756593;2083;142817;144900;1447678281;114187;549807;9122;77775;0;5702;100.09129922147392;1.4585098412653956;4.684734299516908;325.8847815650504;0.0005226250955960843;15.092262286328317;72.668792864856;1.2056680408092595;10.279635153907055;0.0;0.7536416540993639;Dense, Faible conso, Croissance modérée
076;076;Beauvais;2;24;162;Moyenne;375713;15028;390741;3335;141467;144802;1332384808;101324;256959;7121;15028;0;10309;108.6788134558196;2.3574402510832915;2.5946672007292717;112.6575712143928;0.00029326437651786854;25.93124345794273;65.76197532380785;1.8224348097588938;3.8460258841534416;0.0;2.6383205243370926;Dense, Faible conso, Croissance modérée
077;077;Maubeuge (partie française);2;24;65;Moyenne;185799;17515;203314;-2152;142643;140491;506994524;97660;83694;0;17515;0;4445;277.1055570612041;-1.5086614835638623;1.3224975265319487;-86.33782527881041;0.0004010181380183901;48.03407537110086;41.16489764600569;0.0;8.614753533942572;0.0;2.186273448950884;Dense, Faible conso, Croissance modérée
078;078;Compiègne;2;24;101;Moyenne;178632;9226;187858;1473;140565;142038;891049396;61293;107673;9043;9226;0;623;159.40530417014054;1.0479137765446591;1.257635280699531;121.27087576374745;0.00021082781812468678;32.62730360165657;57.31616433689276;4.813742294711963;4.91115629890662;0.0;0.3316334678320859;Dense, Faible conso, Croissance modérée
079;079;Roanne;2;24;88;Moyenne;612493;14145;626638;739;140289;141028;1455303410;304745;267740;35;14145;0;39973;96.90625269681736;0.52676973960895;4.343059534276882;828.8132611637348;0.0004305892473652625;48.6317459202921;42.72642259167175;0.005585361883575525;2.257284109805023;0.0;6.378962016347556;Dense, Faible conso, Croissance modérée
080;080;Bourg-en-Bresse;2;24;80;Moyenne;592654;6406;599060;4077;137831;141908;1334882241;101796;451088;27093;6406;0;12677;106.30750461830438;2.957970267936821;4.1763255066662905;145.36521952415993;0.00044877366826846565;16.992621774112777;75.29930224017627;4.522585383767903;1.0693419690848998;0.0;2.1161486328581445;Dense, Faible conso, Croissance modérée
081;081;Montauban;2;24;50;Moyenne;363406;17133;380539;5483;135717;141200;1216939390;34550;328856;0;17133;0;0;116.02878595293066;4.040024462668641;2.573696883852691;66.27867955498814;0.0003127016868112059;9.079227096302876;86.41847484751891;0.0;4.50229805617821;0.0;0.0;Dense, Faible conso, Croissance modérée
082;082;Albi;2;24;91;Moyenne;383152;17473;400625;2277;136224;138501;1313969163;13815;365012;4324;17473;0;1;105.40658327458786;1.6715116279069766;2.7664204590580574;168.27053140096618;0.00030489680525326;3.4483619344773793;91.11063962558502;1.0793135725429017;4.361435257410296;0.0;0.000249609984399376;Dense, Faible conso, Croissance modérée
