CODGEO,LIBCOM,cadres,ouvriers,total
01212,Lescheroux,15.0954057350058,50.0640326158239,65.1594383508297
01213,Leyment,79.4154708622042,163.098373658266,242.51384452047023
01214,Leyssard,15.1863354037267,20.2484472049689,35.4347826086956
01215,Surjoux-Lhopital,15.3260869565217,10.2173913043478,25.5434782608695
01216,Lhuis,25.0068990193262,70.2709930019959,95.2778920213221
01219,Lompnas,4.96951219512195,19.8780487804878,24.84756097560975
01224,Loyettes,191.572805372072,259.661236181142,451.23404155321396
01225,Lurcy,34.1194228864496,14.5814272437855,48.7008501302351
01227,Magnieu,20.068681074898,51.4228931924927,71.4915742673907
01228,Maillat,30.9836836262357,97.7172595497497,128.7009431759854
01229,Malafretaz,44.8493598336127,154.082392172211,198.9317520058237
01230,Mantenay-Montlin,5.09391681995307,34.0700075432721,39.16392436322517
01231,Manziat,73.2923614729872,178.861136500451,252.15349797343822
01232,Marboz,80.8924192245034,153.86315411816,234.7555733426634
01233,Marchamp,4.81751824817518,9.63503649635037,14.45255474452555
01234,Marignieu,4.94082840236686,9.88165680473373,14.82248520710059
01235,Marlieux,39.8927135345461,100.217456131896,140.1101696664421
01236,Marsonnas,45.8698349920971,91.7216018148912,137.5914368069883
01237,Martignat,75.6515685998386,177.816303613115,253.46787221295358
01238,Massieux,214.794551300198,95.5163166179446,310.3108679181426
01239,Massignieu-de-Rives,19.7317932620168,15.1770536861144,34.9088469481312
01240,Matafelon-Granges,24.9252787114036,76.0064432199562,100.93172193135979
01241,Meillonnas,39.9555472020028,102.05022467167,142.00577187367278
01242,Mérignat,5.03703703703704,15.1111111111111,20.148148148148138
01243,Messimy-sur-Saône,107.37922436597,57.0406097801674,164.41983414613742
01244,Meximieux,697.723528244843,515.790160192049,1213.5136884368922
01245,Bohas-Meyriat-Rignat,42.3486723793291,62.3174131733896,104.6660855527187
01246,Mézériat,66.0254173265134,159.785171284587,225.8105886111004
01247,Mijoux,29.4289592435051,29.9778306585093,59.4067899020144
01248,Mionnay,256.024124866033,73.9981940539068,330.0223189199398
