CODGEO,AAV2020,LIBAAV2020,CATEAAV2020
02469,000,Commune hors attraction des villes,30
02470,308,Hirson,20
02471,136,Laon,20
02472,136,Laon,20
02473,094,Saint-Quentin,20
02474,283,Tergnier,20
02476,000,Commune hors attraction des villes,30
02477,128,Soissons,20
02478,136,Laon,20
02480,136,Laon,20
02481,094,Saint-Quentin,20
02482,036,Reims,20
02483,094,Saint-Quentin,20
02484,209,Château-Thierry,20
02485,128,Soissons,20
02486,136,Laon,20
02487,128,Soissons,20
02488,000,Commune hors attraction des villes,30
02489,136,Laon,20
02490,136,Laon,20
02491,000,Commune hors attraction des villes,30
02492,136,Laon,20
02493,136,Laon,20
02494,466,Guise,20
02495,308,Hirson,20
02496,001,Paris,20
02497,136,Laon,20
02498,136,Laon,20
02499,136,Laon,20
02500,094,Saint-Quentin,20
02501,136,Laon,20
02502,000,Commune hors attraction des villes,30
02503,094,Saint-Quentin,20
02504,094,Saint-Quentin,20
02505,001,Paris,20
02506,001,Paris,20
02507,209,Château-Thierry,20
02508,136,Laon,20
02509,209,Château-Thierry,20
02510,209,Château-Thierry,20
02511,094,Saint-Quentin,20
02512,001,Paris,20
02513,000,Commune hors attraction des villes,30
02514,000,Commune hors attraction des villes,30
02515,001,Paris,20
02516,136,Laon,20
02517,136,Laon,20
02518,001,Paris,20
02519,000,Commune hors attraction des villes,30
02520,036,Reims,20
02521,001,Paris,20
02522,000,Commune hors attraction des villes,30
02523,036,Reims,20
02524,209,Château-Thierry,20
02525,094,Saint-Quentin,20
02526,000,Commune hors attraction des villes,30
02527,128,Soissons,20
02528,001,Paris,20
02529,136,Laon,20
02530,000,Commune hors attraction des villes,30
02531,036,Reims,20
02532,094,Saint-Quentin,20
02533,128,Soissons,20
02534,036,Reims,20
02535,562,Vervins,20
02536,128,Soissons,20
02537,128,Soissons,20
02538,209,Château-Thierry,20
02539,094,Saint-Quentin,20
02540,001,Paris,20
02541,036,Reims,20
02542,273,Chauny,20
02543,000,Commune hors attraction des villes,30
02544,308,Hirson,20
02545,136,Laon,20
02546,273,Chauny,20
02547,000,Commune hors attraction des villes,30
02548,494,Le Nouvion-en-Thiérache,20
