AAV2020;LIBAAV2020;TAAV2017;TDAAV2017;NB_COM;AAV;pop20;surfcom2023;artif_total;artif_par_hab;art22act23;art22hab23;ratio_act_hab;densite_pop;mepart1420;artpop1420;categorie_taille
115;Le Puy-en-Velay;2;22;59;115;82814;1065878322;7070795;7620.361491179124;243671;222086;0.5755937114553937;1.4563029911472827;-10.819322033898304;-59082.32;Petite
116;Alençon;2;22;89;116;81148;1199029929;7224448;17664.030237322884;539435;208159;0.40127156435367667;1.0601956247116828;-1209.3667415730338;-46900.28;Petite
117;Châtellerault;2;22;44;117;80066;1000558715;7365683;8434.599839142982;204272;234622;0.5647667555127833;0.6917601561100738;3.575909090909091;13765.29;Petite
118;Sens;2;22;65;118;81378;984120764;4642852;6915.168316262257;31527;84323;0.3106956267528821;0.8947618133318072;18.763846153846156;75990.69;Petite
119;Gap;2;22;73;119;80864;1666340855;6172334;9760.72880888566;65607;449437;0.062071267714460684;0.38366449567646915;7.808630136986301;68974.70999999999;Petite
120;Saintes;2;22;62;120;80154;850933980;7181592;7479.938701577298;82994;247141;0.02661116158089449;0.7789793816515476;6.778870967741936;65158.6;Petite
121;Sarreguemines (partie française);2;22;48;121;77422;519917471;3005247;1830.2101139350318;6499;52612;0.024319354500363925;1.4351716578627978;3.290625000000001;3896.2199999999993;Petite
122;Moulins;2;22;64;122;76797;1963589088;10384769;15163.987429083187;296238;328701;1.59276394724086;0.642911115654887;86.87265625;-33915.26;Petite
123;Aurillac;2;22;85;123;77247;1810262546;7388687;11847.317183903706;17326;269357;4.63501355453857;0.39178239446097585;-6.211176470588234;140806.34;Petite
124;Saint-Lô;2;22;63;124;77155;831867849;8877138;9478.006916935183;55048;257553;0.4264145920834288;0.8585957097510886;-5.395873015873016;44706.520000000004;Petite
125;Béthune;2;22;23;125;76431;142376050;2506578;1225.5657566998477;59266;121619;0.08705033838149019;5.271714696852613;38.02782608695652;32987.61;Petite
126;Draguignan;2;22;11;126;76827;485250968;6480327;1232.0451368198994;96270;511316;0.17511334435591516;1.6419576317565279;6.467272727272728;9885.19;Petite
127;Haguenau;2;22;34;127;77331;397658683;2361601;1837.5243320695383;27324;66855;0.1980040893682863;2.260465859135432;28.289411764705882;26864.22;Petite
128;Soissons;2;21;92;128;74939;678393159;3341394;6660.293057612446;11748;6863;0.6582446808510639;1.0361361201056578;9.143152173913043;-29254.109999999997;Petite
129;Bergerac;2;21;73;129;73585;1036949541;5849995;7598.896330331942;24894;334534;0.10634733922736245;0.5661705385413551;7.476712328767123;-49941.81;Petite
130;Montargis;2;21;33;130;72140;485641766;4843245;3842.9705446468743;85517;146168;1.8021306161311783;2.1046018557180464;-8.235757575757576;-12286.26;Petite
131;Royan;2;21;26;131;72957;488165160;5301653;2708.389095013171;56369;185650;0.4602834909562421;1.7669778482094562;9.954230769230769;32765.58;Petite
132;Lons-le-Saunier;2;21;139;132;71329;1189801994;5951021;15396.031566946447;47805;196488;0.4656784074329127;0.7118384271653394;2.5558992805755394;31375.41;Petite
133;Saumur;2;21;31;133;70039;737467193;3410791;1886.0411814306142;31465;71320;0.29785202166389674;0.8717499647253323;-7.408064516129032;-17115.59;Petite
134;Dole;2;21;87;134;69381;832730804;4479421;8345.389075372928;16841;197826;0.15348590444434632;0.716106510723163;14.029080459770114;19307.760000000002;Petite
135;Salon-de-Provence;2;21;6;135;68681;234050944;4017304;436.11549358198624;94772;167370;0.3592993682769123;2.3577442631514574;19.401666666666667;53408.47;Petite
136;Laon;2;21;106;136;67269;954835225;3740345;7227.577408813387;652887;25259;21.962971342383106;0.527713374474746;8.571320754716979;-18551.049999999996;Petite
137;Manosque;2;21;30;137;69392;912668081;7462443;3488.4517014994076;27202;130082;0.18540738059915224;0.7477484514837294;25.519666666666662;48753.07;Petite
138;Vesoul;2;21;158;138;66970;1483453670;4048197;13062.5796740349;100063;200198;1.5889516904387149;0.4770214672431645;-33.595;4475.049999999999;Petite
139;Les Sables-d'Olonne;2;21;9;139;70548;342106440;5586326;1020.4236057094683;44975;211880;0.10830949325268732;1.5322665218987552;22.735555555555557;4076.0499999999997;Petite
140;Rochefort;2;21;33;140;65995;557696348;4686428;4053.337030655964;17171;319081;0.2984458686385967;1.1317248324672358;6.0196969696969695;-24830.33;Petite
141;Romans-sur-Isère;2;21;30;141;65228;426466191;4576785;3638.9745318402724;60457;389621;0.1486442935520301;1.3045286007672061;11.339666666666666;45387.39;Petite
142;Saint-Dié-des-Vosges;2;21;47;142;64254;615388218;2391092;2073.925742815123;21056;107992;0.11819248230562453;0.8422089487962586;-15.89723404255319;-5121.409999999999;Petite
143;Aubenas;2;21;68;143;65869;916468362;5896869;7108.160721204947;18889;174316;0.10733017432014057;1.0129751238866658;11.219117647058823;5919.140000000003;Petite
144;Louviers;2;21;44;144;64487;364945507;4125428;4477.588985962411;106992;96016;0.18064019887156227;1.452728765385311;63.26522727272727;-33573.61;Petite
145;Auch;2;21;112;145;64557;1616548006;11390239;29596.050771349455;269718;432472;0.6798979972025335;0.277221771158584;-1.0954464285714285;71127.91;Petite
146;Saint-Dizier;2;21;72;146;61026;981443636;1982154;6380.574843080642;23528;77877;0.05957493598883694;0.567860240015159;-187.0126388888889;6745.470000000001;Petite
147;Roussillon;2;21;27;147;63079;304574496;4955921;2572.8050156349145;173311;248730;2.0123487777681985;2.255777845869438;9.778888888888888;14251.440000000002;Petite
148;Carpentras;2;21;21;148;63489;459561841;4447754;2200.170921359659;42511;125055;0.19601752194786337;1.438892039661482;3.807619047619048;-1813.3200000000002;Petite
149;Morlaix;2;21;24;149;61572;665676397;5647883;2611.541609941294;128442;152514;1.153501400264234;1.4160445750161086;8.444583333333332;21623.44;Petite
150;Arles;2;21;4;150;59392;851904259;2304597;296.6578106761681;9273;204962;0.012182272973299631;0.9040089322183841;-13.8225;-669.15;Petite
151;Thonon-les-Bains;2;21;18;151;62667;205165374;2781817;1455.5643396245846;47267;53563;0.8310592525638032;2.9321257206224627;22.735555555555557;9364.23;Petite
152;Cognac;2;21;44;152;58800;567176548;5767222;6586.326925169735;34571;146474;0.945494689589328;1.0580000177768003;7.695111111111112;-182769.03;Petite
153;Cahors;2;21;78;153;59686;1406847007;4783686;7963.902892862878;74483;253286;0.3212863114454895;0.3799112745550248;120.6671794871795;-8627.76;Petite
154;Villeneuve-sur-Lot;2;21;34;154;58780;663756098;6009100;5383.842672560753;12479;102728;0.12019954415376506;0.6626072622096671;2.830294117647059;80638.15;Petite
155;Ancenis-Saint-Géréon;2;21;12;155;58792;740766357;4480053;873.690981433753;38554;170027;0.13983825330848462;0.9560236672797836;7.209166666666667;3635.5599999999995;Petite
156;Auchel - Lillers;2;21;29;156;57126;164647126;1717306;1739.9820646075966;14386;63187;0.0011893758155719879;3.390129208710951;-12.241379310344827;-9990.26;Petite
157;Épernay;2;21;44;157;56395;457187108;1706634;2137.475439750307;30306;27370;0.3827792424676073;1.499260831443432;-17.86090909090909;7816.990000000001;Petite
158;Sélestat;2;21;37;158;56911;360736976;2408736;1927.636124125083;56808;63195;0.2154427302051052;1.420307857928295;7.845675675675676;4135.010000000001;Petite
159;Libourne;2;21;24;159;55681;313540786;2363292;1409.6987282874372;6292;84384;0.04475043029259897;1.5589825802381163;-6.054166666666667;-26729.62;Petite
160;Chaumont;2;21;112;160;55221;1893559862;2789700;7860.368255504222;6498;63954;0.05312062144564411;0.21033145807366874;-31.86801801801802;23638.78;Petite
161;Annonay;2;21;37;161;56324;479491118;4974368;4056.304450658938;43654;279472;0.23015190670070781;1.2358615221512594;7.558108108108109;8258.069999999998;Petite
162;Lisieux;2;21;57;162;54858;700141416;6893552;11518.359940880686;117929;481350;506.59756615140435;0.8343288708684072;-0.8635087719298247;-64988.96;Petite
163;Cluses;2;21;12;163;55691;237386025;1790823;509.63607064368;13407;55286;0.20310615554606795;3.805623870343371;19.945833333333333;58836.189999999995;Petite
164;Abbeville;2;21;73;164;54665;686276744;2728844;6175.188198557214;13521;79310;0.0828073727008103;0.6373969054087536;9.71945205479452;50285.07;Petite
165;Orange;2;21;10;165;54503;266324874;3073375;942.210613073319;23102;127046;0.16886163568566237;1.55388900198921;8.968;1469.1999999999998;Petite
166;Agde;2;21;6;166;55248;210828788;2815591;407.4995756613866;18659;92665;0.29842158404694885;2.3840054496280207;-6.893333333333335;-1829.8799999999999;Petite
167;Albertville;2;21;30;167;55590;406059190;2631414;2048.9270187497514;17619;68426;0.27031768340688817;1.7635714381335228;20.066;6531.15;Petite
168;Oyonnax;2;21;40;168;53635;545222771;2909097;2816.1373831570554;26551;181764;0.631403766847865;0.9016949117896799;2.35325;-47975.63;Petite
169;Vitré;2;21;30;169;54003;597556117;6024201;3758.1743053404753;332336;471582;1.6964280477175702;0.8273521873952361;4.877;24397.55;Petite
170;Sarrebourg;2;21;87;170;52380;902657927;4357818;13335.295309959936;16129;141037;0.3065899582011721;0.6885876550952451;-6.419080459770115;-51950.57;Petite
171;Flers;2;21;38;171;52021;623625835;6693029;7378.497038116744;55080;227794;0.3152465874799913;0.9827854737774869;-1.0076315789473682;-22173.950000000004;Petite
172;Fougères;2;21;26;172;52002;491069211;3976275;3464.7723069298145;37994;327057;0.11539010373743405;1.3908127965035317;7.086666666666666;-24042.219999999998;Petite
173;Les Herbiers;2;21;15;173;51998;509294367;6450684;2052.086163720171;78898;256615;1.5461120439410203;1.0102051862575792;7.327333333333333;12135.01;Petite
174;Beaune;2;21;64;174;49992;747338790;3859451;8435.157353954493;20622;97457;0.7084827288533636;0.5851290919304253;-2182.69296875;20578.07;Petite
175;Marmande;2;21;48;175;50462;657414370;6596618;8536.926930362793;151432;285002;0.8729516050089153;0.6128292995427073;2.7141666666666673;56983.07;Petite
176;Montceau-les-Mines;2;21;22;176;48775;618024278;1621569;2387.5599725104003;49466;95167;0.5378726022696344;0.9593494697105359;-11.084999999999999;4534.15;Petite
177;Bar-le-Duc;2;21;86;177;48873;1068234714;1275836;3478.943210551202;431;43752;3.591666666666667;0.39283628373640256;2.9579999999999993;1267.9100000000008;Petite
178;Saint-Avold (partie française);1;14;28;178;48891;246771982;2570506;1889.1211612569757;1137;36416;0.0036403925292814183;1.7851749169299265;4.510000000000001;-25928.64;Petite
